GEN1,GEN2
BRCA2,TOP2A
BRCA2,STIL
BRCA2,ZNF367
BRCA2,FAM72D
BRCA2,HMMR-AS1
BRCA2,DEPDC1-AS1
BRCA2,RN7SL2
BRCA2,PLK4
BRCA2,FAM83D
BRCA2,GPR61
BRCA2,CENPE
BRCA2,PRC1
BRCA2,CCND2
BRCA2,PBK
BRCA2,NCAPG2
BRCA2,FANCD2OS
BRCA2,KIF18B
BRCA2,NUF2
BRCA2,RNU2-1
BRCA2,NSD2
BRCA2,BDKRB1
BRCA2,NEIL3
BRCA2,ESCO2
BRCA2,ANLN
BRCA2,NCAPG
BRCA2,LOC105378179
BRCA2,TRIM59
BRCA2,PITX1
BRCA2,CDCA8
BRCA2,IQGAP3
BRCA2,MYBL1
BRCA2,ATAD2
BRCA2,ARHGAP11B
BRCA2,AKR1C2
BRCA2,CDK1
BRCA2,HMGB2
BRCA2,CENPH
BRCA2,CENPK
BRCA2,PRC1-AS1
BRCA2,CDKN2B-AS1
BRCA2,SLC7A5
BRCA2,HASPIN
BRCA2,POLQ
BRCA2,LOC100288637
BRCA2,CLGN
TOP2A,BUB1
TOP2A,STIL
TOP2A,BUB1B-PAK6
TOP2A,SKA1
TOP2A,PBK
BUB1B-PAK6,KIF4A
BUB1B-PAK6,CDKN2B-AS1
BUB1B-PAK6,GTSE1
BUB1B-PAK6,KCNMB2
BUB1B-PAK6,OIP5
BUB1B-PAK6,DEPDC1B
BUB1B-PAK6,ASF1B
BUB1B-PAK6,FAM72C
BUB1B-PAK6,LCORL
BUB1B-PAK6,KIF20A
BUB1B-PAK6,NEK2
BUB1B-PAK6,LOC105370705
BUB1B-PAK6,FOXE3
BUB1B-PAK6,PRC1
BUB1B-PAK6,ANLN
BUB1B-PAK6,CCND2
BUB1B-PAK6,RDM1
BUB1B-PAK6,NCAPG
BUB1B-PAK6,CAMK2N2
BUB1B-PAK6,NUSAP1
BUB1B-PAK6,GAS2L3
BUB1B-PAK6,NCAPG2
BUB1B-PAK6,CDKN3
BUB1B-PAK6,CDCA8
BUB1B-PAK6,PMAIP1
BUB1B-PAK6,ATAD2
BUB1B-PAK6,FAM72B
BUB1B-PAK6,NUF2
BUB1B-PAK6,CKAP2L
BUB1B-PAK6,KIF18B
BUB1B-PAK6,WDR62
BUB1B-PAK6,NSD2
BUB1B-PAK6,SACS-AS1
BUB1B-PAK6,TPX2
BUB1B-PAK6,EP300-AS1
BUB1B-PAK6,NEIL3
BUB1B-PAK6,BUB1B
BUB1B-PAK6,E2F8
BUB1B-PAK6,TTK
BUB1B-PAK6,ARHGAP11A
BUB1B-PAK6,WDR76
BUB1B-PAK6,SYT4
BUB1B-PAK6,TCF19
BUB1B-PAK6,KIF15
BUB1B-PAK6,CENPF
BUB1B-PAK6,F2RL2
BUB1B-PAK6,ZNF367
BUB1B-PAK6,EZH2
BUB1B-PAK6,FAM72D
BUB1B-PAK6,RAD51AP1
BUB1B-PAK6,ENHO
BUB1B-PAK6,PAQR4
BUB1B-PAK6,IQGAP3
BUB1B-PAK6,CDKN2A-AS1
BUB1B-PAK6,ARHGAP11B
BUB1B-PAK6,CDK1
BUB1B-PAK6,HMGB2
BUB1B-PAK6,CENPK
BUB1B-PAK6,PRRG4
BUB1B-PAK6,PRC1-AS1
BUB1B-PAK6,SOCS2-AS1
BUB1B-PAK6,FAM72A
BUB1B-PAK6,FANCD2
BUB1B-PAK6,CLSPN
BUB1B-PAK6,DCST1-AS1
BUB1B-PAK6,IL37
BUB1B-PAK6,LOC100288637
BUB1B-PAK6,LHX2
BUB1B-PAK6,CLGN
BUB1B-PAK6,CKS2
BUB1B-PAK6,DRAXIN
BUB1B-PAK6,STIL
BUB1B-PAK6,KNL1
BUB1B-PAK6,FAM111B
BUB1B-PAK6,PBK
BUB1B-PAK6,FBXO43
BUB1B-PAK6,MCM2
BUB1B-PAK6,ZWINT
BUB1B-PAK6,DEPDC1
KIF4A,PNPLA3
KIF4A,SKA1
KIF4A,HROB
KIF4A,BUB1
SLAMF7,CGN
SLAMF7,UBASH3A
SLAMF7,BCL11B
SLAMF7,TNIP3
SLAMF7,IL7R
SLAMF7,IL21R-AS1
SLAMF7,ANKRD22
SLAMF7,CXCR2P1
SLAMF7,TNFSF13B
SLAMF7,CXCR6
SLAMF7,LINC01857
SLAMF7,PDCD1
SLAMF7,CXCL10
SLAMF7,IL2RB
SLAMF7,LINC02316
SLAMF7,CD80
SLAMF7,GBP5
SLAMF7,CD300LF
SLAMF7,CD52
SLAMF7,OSCAR
SLAMF7,LOC107984551
SLAMF7,DNAJC5B
SLAMF7,SLC1A3
SLAMF7,OASL
SLAMF7,KLHDC7B
SLAMF7,UBD
SLAMF7,BIRC3
SLAMF7,APOBR
SLAMF7,ICOS
SLAMF7,CTSW
SLAMF7,LINC02084
SLAMF7,PKD2L1
SLAMF7,CXCL9
SLAMF7,SH2D1A
SLAMF7,CCL18
SLAMF7,TNFRSF9
SLAMF7,EOMES
SLAMF7,ITK
SLAMF7,BATF
SLAMF7,LINC01871
SLAMF7,CCL5
SLAMF7,CD3E
SLAMF7,ARL4C
SLAMF7,TRAT1
SLAMF7,SP140
SLAMF7,LAIR2
SLAMF7,PYHIN1
SLAMF7,PTPN22
SLAMF7,KLHDC7B-DT
SLAMF7,LILRB4
SLAMF7,CD8A
SLAMF7,CD8B
SLAMF7,SIGLEC10
SLAMF7,GPR171
SLAMF7,ACY3
SLAMF7,SIGLEC8
SLAMF7,LINC02195
SLAMF7,USP30-AS1
SLAMF7,CYTIP
SLAMF7,CCR7
SLAMF7,ZBED2
SLAMF7,GZMA
SLAMF7,CALHM6
SLAMF7,APOC2
SLAMF7,LINC01943
SLAMF7,IL21R
SLAMF7,ETV7
SLAMF7,ADAMDEC1
SLAMF7,HECW2-AS1
SLAMF7,IGKJ5
SLAMF7,IL2RG
SLAMF7,IFI30
SLAMF7,BCL2A1
SLAMF7,GPR174
SLAMF7,IL18
SLAMF7,APOC4-APOC2
SLAMF7,IL12RB1
SLAMF7,LOC102724765
SLAMF7,SDS
SLAMF7,SLAMF8
SLAMF7,ZBP1
SLAMF7,PCOLCE-AS1
SLAMF7,IL1R2
SLAMF7,TFEC
SLAMF7,SERPINA1
SLAMF7,LIPM
SLAMF7,CRTAM
SLAMF7,APOC1
SLAMF7,SIRPG
SLAMF7,TYMP
SLAMF7,CD96
SLAMF7,ICAM1
SLAMF7,AIM2
SLAMF7,CD2
SLAMF7,CD5
SLAMF7,CD70
SLAMF7,SIT1
SLAMF7,CXCR3
SLAMF7,CD3D
SLAMF7,LINC01615
UBASH3A,PCOLCE-AS1
UBASH3A,TRAT1
UBASH3A,LINC02195
PTPN22,PKD2L1
PTPN22,TRAT1
PTPN22,LINC02195
PTPN22,LINC01943
PTPN22,PCOLCE-AS1
PTPN22,BIRC3
PKD2L1,MARCO
PKD2L1,MIR147B
PKD2L1,PELATON
PKD2L1,RGS1
PKD2L1,CD300LF
PKD2L1,OSCAR
PKD2L1,ZNF683
PKD2L1,ITGAX
PKD2L1,OTOAP1
PKD2L1,KCNN4
PKD2L1,TMEM156
PKD2L1,CCL18
PKD2L1,PTPRN
PKD2L1,TFAP2A
PKD2L1,PLEKHN1
PKD2L1,LINC01857
PKD2L1,CLEC5A
PKD2L1,C15orf48
PKD2L1,LAIR2
PKD2L1,FGF5
PKD2L1,LILRB4
PKD2L1,SIGLEC10
PKD2L1,COL8A1
PKD2L1,GPR171
PKD2L1,ACY3
PKD2L1,CYTIP
PKD2L1,APOC2
PKD2L1,APOBR
PKD2L1,LINC01943
PKD2L1,IL21R
PKD2L1,IL2RG
PKD2L1,APOC4-APOC2
PKD2L1,STEAP3
PKD2L1,OSM
PKD2L1,SDS
PKD2L1,CCDC171
PKD2L1,ST14
PKD2L1,LOC101927344
PKD2L1,ARL4C
PKD2L1,TREM2
PKD2L1,SLAMF8
PKD2L1,FBP1
PKD2L1,SERPINA1
PKD2L1,LOC105373581
PKD2L1,APOC1
PKD2L1,NLRP2
PKD2L1,ANPEP
PKD2L1,IFI30
PKD2L1,BCL2A1
PKD2L1,RGS16
PKD2L1,IL21R-AS1
PKD2L1,IL18
PKD2L1,SOCAR
BCL11B,LINC02195
BCL11B,TRAT1
LRRC37A8P,FAM95C
LRRC37A8P,ENHO
LRRC37A8P,MAST1
LRRC37A8P,GS1-24F4.2
LRRC37A8P,HMGB2
LRRC37A8P,BRME1
LRRC37A8P,SPC24
LRRC37A8P,RAB7B
LRRC37A8P,KCNMB2
LRRC37A8P,SYT4
LRRC37A8P,FBXO43
LRRC37A8P,TRNV
LRRC37A8P,NRXN1
LRRC37A8P,CCND2
LRRC37A8P,RDM1
LRRC37A8P,IGFBPL1
LRRC37A8P,DPYSL5
LRRC37A8P,CNIH2
LRRC37A8P,MESP1
LRRC37A8P,ASF1B
LRRC37A8P,SBK1
LRRC37A8P,LMO1
LRRC37A8P,FANCD2
FAM95C,DPYSL5
FAM95C,LOC105376042
FAM95C,KBTBD12
FAM95C,BRME1
FAM95C,FAM30C
FAM95C,CDKN2A
FAM95C,ANKRD18A
FAM95C,MIR503HG
FAM95C,CRYBG2
FAM95C,LOC105376041
FAM95C,CDKN2B
FAM95C,NUP210
FAM95C,IGFBPL1
FAM95C,CDKN2B-AS1
FAM95C,IRF6
FAM95C,MAST1
FAM95C,CA3
FAM95C,ELAVL3
FAM95C,CDKN2A-AS1
FAM95C,SBK1
FAM95C,FAM201A
C7,THBS4-AS1
C7,SCN7A
C7,MIMT1
C7,GLB1L3
THBS4-AS1,THBS4
BUB1,LOC112268460
BUB1,FANCD2
BUB1,CCDC150
BUB1,CLSPN
BUB1,H2AX
BUB1,NT5DC4
BUB1,DLGAP5
BUB1,HASPIN
BUB1,POLQ
BUB1,HJURP
BUB1,CENPA
BUB1,ERCC6L
BUB1,LOC100288637
BUB1,SNHG31
BUB1,CDT1
BUB1,E2F1
BUB1,CKS2
BUB1,SPC24
BUB1,BLM
BUB1,KNL1
BUB1,CDCA5
BUB1,RRM2
BUB1,TROAP
BUB1,KIF18A
BUB1,EXO1
BUB1,FAM111B
BUB1,POC1A
BUB1,CRNDE
BUB1,CENPF
BUB1,RACGAP1
BUB1,AURKA
BUB1,FBXO43
BUB1,TICRR
BUB1,NCAPH
BUB1,FAM72D
BUB1,ZIC2
BUB1,XRCC2
BUB1,SAPCD2
BUB1,LMNB1
BUB1,LOC105371050
BUB1,MCM2
BUB1,DEPDC1
BUB1,PRR11
BUB1,KIF14
BUB1,SLC26A9-AS1
BUB1,MKI67
BUB1,SPC25
BUB1,GTSE1
BUB1,CDC6
BUB1,FOXM1
BUB1,DIAPH3
BUB1,PLK4
BUB1,CCNE1
BUB1,OIP5
BUB1,DEPDC1B
BUB1,AURKB
BUB1,CCNB2
BUB1,KIF23
BUB1,FAM83D
BUB1,PCLAF
BUB1,FAM72C
BUB1,LCORL
BUB1,KIF20A
BUB1,H3C14
BUB1,NEK2
BUB1,KY
BUB1,ORC1
BUB1,E2F2
BUB1,FAM72A
BUB1,IRX5
BUB1,MKX
BUB1,TRIP13
BUB1,CCNF
BUB1,LHX2
BUB1,CENPE
BUB1,PRC1
BUB1,DRAXIN
BUB1,XKR5
BUB1,CENPM
BUB1,CENPI
BUB1,UHRF1
BUB1,RDM1
BUB1,BRIP1
BUB1,TACC3
BUB1,CIT
BUB1,KIF11
BUB1,SPSB4
BUB1,SHANK1
BUB1,GINS1
BUB1,PBK
BUB1,GAS2L3
BUB1,NCAPG2
BUB1,H3C2
BUB1,SGO2
BUB1,KIF4B
BUB1,CNIH2
BUB1,CDKN3
BUB1,RECQL4
BUB1,AKR1C3
BUB1,ZWINT
BUB1,E2F7
BUB1,ATAD2
BUB1,FAM72B
BUB1,NUF2
BUB1,MYBL2
BUB1,KIF18B
BUB1,MTFR2
BUB1,SGO1-AS1
BUB1,BIRC5
BUB1,HMMR
BUB1,CDC20
BUB1,PIMREG
BUB1,SKA1
BUB1,TEDC2
BUB1,ASF1B
BUB1,PLK1
BUB1,CEP55
BUB1,MELK
BUB1,PTTG1
BUB1,NSD2
BUB1,SGO1
BUB1,TPX2
BUB1,HOXD13
BUB1,PIF1
BUB1,NEIL3
BUB1,MIR924HG
BUB1,HROB
BUB1,BUB1B
BUB1,LOC107985017
BUB1,ESCO2
BUB1,SPAG5
BUB1,E2F8
BUB1,UBE2C
BUB1,ASPM
BUB1,H3C3
BUB1,ANLN
BUB1,TTK
BUB1,ARHGAP11A
BUB1,DTL
BUB1,CDC25A
BUB1,MCM4
BUB1,NCAPG
BUB1,ECT2
BUB1,KIFC1
BUB1,TRIM59
BUB1,WDR76
BUB1,TCF19
BUB1,NUSAP1
BUB1,PNPLA3
BUB1,KIF15
BUB1,SKA3
BUB1,CDCA2
BUB1,CCNB1
BUB1,EZH2
BUB1,RAD51AP1
BUB1,PAQR4
BUB1,CDCA8
BUB1,CDC45
BUB1,KIF2C
BUB1,SHCBP1
BUB1,HAS2-AS1
BUB1,ARHGAP11B
BUB1,HOPX
BUB1,CKAP2L
BUB1,CDK1
BUB1,HMGB2
BUB1,CENPH
BUB1,MCM10
BUB1,CRADD-AS1
BUB1,RAD51
BUB1,CENPK
BUB1,MAD2L1
BUB1,PRC1-AS1
BUB1,ESPL1
BUB1,WDR62
BUB1,SOCS2-AS1
BUB1,CDC25C
BUB1,MND1
LOC112268460,SKA1
LOC112268460,HROB
STC2,INS-IGF2
STC2,WSCD2
STC2,CXCR4
STC2,SALL4
STC2,IRS4
STC2,FOXD1
STC2,KY
STC2,LOC107984886
STC2,MIR210HG
STC2,PEG3
STC2,FOXL1
STC2,E2F7
STC2,IGF2
STC2,TFR2
STC2,HOXD13
STC2,ULBP2
STC2,HRC
STC2,LOC107985017
STC2,JAKMIP3
STC2,ECT2
STC2,ADORA2B
STC2,KIF2C
STC2,PIMREG
STC2,IGF2BP3
STC2,NT5DC4
STC2,ATP6V0D2
STC2,SRL
STC2,DLGAP5
STC2,PHF24
STC2,CDC25A
STC2,FLRT2-AS1
STIL,LOC100506253
STIL,LOC102723714
STIL,SKA1
STIL,WDR62
STIL,CDC25C
STIL,CLSPN
STIL,CEP55
STIL,NSD2
STIL,SACS-AS1
STIL,POLQ
STIL,GRM4
STIL,GATA5
STIL,BUB1B
STIL,CKS2
STIL,KNL1
STIL,TROAP
STIL,SYT4
STIL,ZNF367
STIL,FAM72D
STIL,MCM2
STIL,ARHGAP11B
STIL,DEPDC1
STIL,HMGB2
STIL,PGR
STIL,DIAPH3
STIL,PRC1-AS1
STIL,ESPL1
STIL,MND1
STIL,FANCD2
STIL,FAM83D
STIL,E2F2
STIL,IL37
STIL,LOC100288637
STIL,TRIP13
STIL,FOXE3
STIL,LHX2
STIL,CENPE
STIL,PRC1
STIL,PEG3
STIL,CCND2
STIL,BRIP1
STIL,FAM111B
STIL,PBK
STIL,NCAPG2
STIL,SGO2
STIL,ZWINT
STIL,E2F7
STIL,FAM72B
STIL,KIF14
STIL,DEPDC1-AS1
STIL,PKMYT1
STIL,LOC105378523
STIL,ADGRL2
STIL,KCNMB2
STIL,HMMR
STIL,TBX18
STIL,ASF1B
STIL,KIF20A
STIL,TPX2
STIL,EP300-AS1
STIL,NEIL3
STIL,E2F8
STIL,ASPM
STIL,ANLN
STIL,LINC01238
STIL,ARHGAP11A
STIL,CIT
STIL,NCAPG
STIL,WDR76
STIL,TCF19
STIL,NUSAP1
STIL,SKA3
STIL,CDCA2
STIL,PAQR4
STIL,CDKN3
STIL,CDCA8
STIL,IQGAP3
STIL,SHCBP1
STIL,MYBL1
STIL,ATAD2
STIL,NUF2
STIL,LOC105372115
STIL,CKAP2L
STIL,KIF18B
STIL,CDK1
STIL,CENPK
STIL,CDC20
HROB,NEK2
HROB,ORC1
HROB,E2F2
HROB,IRX5
HROB,TRIP13
HROB,LOC102723305
HROB,CCNF
HROB,LHX2
HROB,CENPE
HROB,PRC1
HROB,TK1
HROB,CENPM
HROB,CENPI
HROB,UHRF1
HROB,PEG3
HROB,H2AC16
HROB,DSCAML1
HROB,TACC3
HROB,KIF11
HROB,SPSB4
HROB,SHANK1
HROB,LIPG
HROB,GINS1
HROB,NCAPG2
HROB,RECQL4
HROB,ZWINT
HROB,PKMYT1
HROB,MYBL2
HROB,KIF18B
HROB,MTFR2
HROB,SGO1-AS1
HROB,BIRC5
HROB,CDC20
HROB,SKA1
HROB,PEG3-AS1
HROB,CEP55
HROB,MELK
HROB,PTTG1
HROB,NSD2
HROB,LOC105371793
HROB,SGO1
HROB,TPX2
HROB,PIF1
HROB,RAC3
HROB,ESCO2
HROB,SPAG5
HROB,UBE2C
HROB,H3C3
HROB,TTK
HROB,DTL
HROB,CDC25A
HROB,MCM4
HROB,KIFC1
HROB,TCF19
HROB,SKA3
HROB,CDCA2
HROB,EZH2
HROB,CDC45
HROB,KIF2C
HROB,SHCBP1
HROB,LOC105372115
HROB,CKAP2L
HROB,CDK1
HROB,CENPH
HROB,MCM10
HROB,PGR
HROB,RAD51
HROB,MAD2L1
HROB,PRC1-AS1
HROB,ESPL1
HROB,CDC25C
HROB,MND1
HROB,FAM72A
HROB,CCDC150
HROB,CLSPN
HROB,H2AX
HROB,PLK1
HROB,DLGAP5
HROB,HJURP
HROB,CENPA
HROB,ADAMTSL5
HROB,ERCC6L
HROB,E2F1
HROB,SPC24
HROB,BLM
HROB,CDCA5
HROB,RRM2
HROB,KIF18A
HROB,EXO1
HROB,CENPF
HROB,AURKA
HROB,TICRR
HROB,CCNB1
HROB,NCAPH
HROB,XRCC2
HROB,LMNB1
HROB,PRR11
HROB,MKI67
HROB,RAET1K
HROB,SPC25
HROB,GTSE1
HROB,CDC6
HROB,FOXM1
HROB,PLK4
HROB,AURKB
HROB,CCNB2
HROB,PCLAF
HROB,LCORL
HROB,KIF20A
NEK2,PBK
NEK2,SKA1
NEK2,PNPLA3
LOC102723714,RDUR
CYTIP,PCOLCE-AS1
CYTIP,BIRC3
CYTIP,TRAT1
CYTIP,LINC02195
CYTIP,LINC01943
PCOLCE-AS1,LOC105378305
PCOLCE-AS1,LINC02316
PCOLCE-AS1,SP140
PCOLCE-AS1,SLC12A5-AS1
PCOLCE-AS1,GPR171
PCOLCE-AS1,OLFML2B
PCOLCE-AS1,LINC01583
PCOLCE-AS1,RTL3
PCOLCE-AS1,CTHRC1
PCOLCE-AS1,APOBR
PCOLCE-AS1,IL21R
PCOLCE-AS1,HECW2-AS1
PCOLCE-AS1,SMCO2
PCOLCE-AS1,IL12RB1
PCOLCE-AS1,LOC105370924
PCOLCE-AS1,SDS
PCOLCE-AS1,ARL4C
PCOLCE-AS1,SLAMF8
PCOLCE-AS1,IL1R2
PCOLCE-AS1,TYMP
PCOLCE-AS1,ANPEP
PCOLCE-AS1,RFX8
PCOLCE-AS1,PCOLCE
PCOLCE-AS1,PLAUR
PCOLCE-AS1,LINC01605
PCOLCE-AS1,ATP6V0D2
PCOLCE-AS1,LINC01943
PCOLCE-AS1,LINC01615
PCOLCE-AS1,CLDN14-AS1
PCOLCE-AS1,LRRC15
PCOLCE-AS1,BCL2A1
PCOLCE-AS1,IL7R
PCOLCE-AS1,ADAMTS9-AS1
PCOLCE-AS1,LOC105373581
PCOLCE-AS1,ZFHX4
PCOLCE-AS1,OSCAR
PCOLCE-AS1,LINC02328
PCOLCE-AS1,ITGAX
PCOLCE-AS1,ELAVL3
PCOLCE-AS1,RUNX2
PCOLCE-AS1,SLC12A8
ORC1,SKA1
ORC1,PNPLA3
RELT,CDKN3
RELT,ADORA2B
RELT,GGH
RELT,ZFHX4-AS1
RELT,MTFR2
RELT,CA2
RELT,BIRC5
RELT,MAD2L1
RELT,LOC105371275
RELT,ATP6V0D2
RELT,LINC01943
RELT,PIF1
RELT,LOC105377508
RELT,CDT1
RELT,LEFTY2
RELT,H3C3
RELT,BMAL2-AS1
RELT,CDC25A
RELT,KIF18A
RELT,CRNDE
RELT,WSCD2
RELT,CCNB1
RELT,COL11A1
RELT,KIF2C
RELT,ASB5
RELT,PDE8B
RELT,ISL2
RELT,EZR
RELT,AURKB
RELT,MGC12916
RELT,PCLAF
RELT,DLGAP5
RELT,LINC00595
RELT,PHF24
RELT,TACR2
RELT,KCNK13
RELT,CDCA5
RELT,RRM2
RELT,EXO1
RELT,EPO
RELT,FOXL1
RELT,E2F7
RELT,ADCY5
RELT,TREM1
RELT,FOXM1
RELT,FOXD1
RELT,ADAMTS19
RELT,DLX1
RELT,SLURP2
RELT,ULBP1
RELT,BMAL2
RELT,PLEK2
RELT,RUNX3
RELT,ULBP2
RELT,LOC102723654
RELT,TK1
RELT,IRX3
RELT,LOC105376369
RELT,CENPM
RELT,UHRF1
RELT,MMP12
RELT,LOC105378305
RELT,CPLX3
RELT,RUNX3-AS1
RELT,KIF11
RELT,CHRDL1
RELT,LIPG
RELT,H3C2
RELT,BBOX1-AS1
CDKN3,PBK
CDKN3,SKA1
ADORA2B,LINC01943
ADORA2B,EN1
LOC105378305,ANPEP
LOC105378305,PCOLCE
LOC105378305,PLAUR
LOC105378305,MGC12916
LOC105378305,BMAL2
LOC105378305,IL21R-AS1
LOC105378305,CFAP45
LOC105378305,PODNL1
LOC105378305,EXOC3L4
LOC105378305,CLDN14
LOC105378305,CHRDL1
LOC105378305,LINC02541
LOC105378305,WNT7B
LOC105378305,CLEC5A
LOC105378305,PELATON
LOC105378305,LOC105377123
LOC105378305,MMP1
LOC105378305,C15orf48
LOC105378305,CRYBG1
LOC105378305,FOXL1
LOC105378305,ZFHX4
LOC105378305,TREM1
LOC105378305,SDC1
LOC105378305,COL8A1
LOC105378305,VEPH1
LOC105378305,DLX1
LOC105378305,KCNN4
LOC105378305,APOBR
LOC105378305,RUNX2
LOC105378305,PLEK2
LOC105378305,RUNX3
LOC105378305,ULBP2
LOC105378305,IRX3
LOC105378305,LOC105376369
LOC105378305,SLC12A8
LOC105378305,MMP12
LOC105378305,LINC01426
LOC105378305,LINC00673
LOC105378305,SMCO2
LOC105378305,RUNX3-AS1
LOC105378305,CYTOR
LOC105378305,LIPG
LOC105378305,STEAP3
LOC105378305,GPR84
LOC105378305,MCTP2
LOC105378305,ARL4C
LOC105378305,LOC102723834
LOC105378305,IL1RN
LOC105378305,ZFHX4-AS1
LOC105378305,ASB5
LOC105378305,AK5
LOC105378305,GIPR
LOC105378305,SPHK1
LOC105378305,RFX8
LOC105378305,LINC01583
LOC105378305,RTL3
LOC105378305,AQP9
LOC105378305,LINC01605
LOC105378305,ATP6V0D2
LOC105378305,NECTIN4
LOC105378305,LINC01943
LOC105378305,IL21R
LOC105378305,LRRC15
LOC105378305,SOCAR
LOC105378305,SLC11A1
LOC105378305,LOC105370924
LOC105378305,OSM
LOC105378305,OBP2A
LOC105378305,MIR147B
LOC105378305,ADAMTS9-AS1
LOC105378305,SDS
LOC105378305,CCDC171
LOC105378305,EN1
LOC105378305,ST14
LOC105378305,LOC101927344
LOC105378305,TREM2
LOC105378305,RGS1
LOC105378305,TFCP2L1
LOC105378305,LOC105373581
LOC105378305,COL10A1
LOC105378305,SLC6A7
ANPEP,LINC01943
LINC02195,CD300LF
LINC02195,MIR155HG
LINC02195,CD52
LINC02195,KLHDC7B-DT
LINC02195,GPR171
LINC02195,SIGLEC8
LINC02195,SLC1A3
LINC02195,OASL
LINC02195,KLHDC7B
LINC02195,UBD
LINC02195,GZMA
LINC02195,BIRC3
LINC02195,APOC2
LINC02195,ICOS
LINC02195,CXCL9
LINC02195,TNFRSF9
LINC02195,CD38
LINC02195,ITK
LINC02195,BATF
LINC02195,LINC01871
LINC02195,IL1R2
LINC02195,TRAT1
LINC02195,LIPM
LINC02195,LAIR2
LINC02195,IL1RN
LINC02195,LILRB4
LINC02195,CD8A
LINC02195,CD8B
LINC02195,SIGLEC10
LINC02195,CD96
LINC02195,MICB
LINC02195,AIM2
LINC02195,LINC01050
LINC02195,SIT1
LINC02195,CCR7
LINC02195,ZBED2
LINC02195,CALHM6
LINC02195,LINC01943
LINC02195,IL21R
LINC02195,ETV7
LINC02195,ADAMDEC1
LINC02195,IL2RG
LINC02195,IFI30
LINC02195,BCL2A1
LINC02195,GPR174
LINC02195,IL18
LINC02195,APOC4-APOC2
LINC02195,IL12RB1
LINC02195,CXCR6
LINC02195,MIR147B
LINC02195,SDS
LINC02195,IL2RB
LINC02195,SLAMF8
LINC02195,RGS1
LINC02195,ZBP1
LINC02195,TFEC
LINC02195,SERPINA1
LINC02195,CRTAM
LINC02195,CD80
LINC02195,APOC1
LINC02195,SIRPG
LINC02195,TYMP
LINC02195,GBP5
LINC02195,ICAM1
LINC02195,CD2
LINC02195,CD5
LINC02195,CD70
LINC02195,LOC107984551
LINC02195,P2RY10
LINC02195,PLA2G7
LINC02195,CXCR3
LINC02195,CD3D
LINC02195,IDO1
LINC02195,TMEM156
LINC02195,CTSW
